着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,馬主,賞金(万円),label,race_id
1,4,7,ソーヴァリアント,牡3,56.0,戸崎圭太,2:21.8,,2-2-2-1,37.8,2.3,1.0,500(-4),[東]大竹正博,社台レースホース,510.0,1,202106010805
2,7,13,アルビージャ,牡3,56.0,ルメール,2:22.1,1.3/4,12-13-12-6,36.4,3.4,2.0,520(+6),[東]手塚貴久,サンデーレーシング,200.0,1,202106010805
3,5,9,アインゲーブング,牝3,54.0,津村明秀,2:22.5,2.1/2,3-3-3-3,38.3,9.3,5.0,442(+4),[東]黒岩陽一,サラブレッドクラブ・ラフィアン,130.0,1,202106010805
4,3,6,レナトゥス,牡3,56.0,石橋脩,2:22.6,1/2,16-15-13-6,36.8,35.5,7.0,444(-4),[東]尾関知人,岡田牧雄,77.0,0,202106010805
5,7,14,ジジ,牡3,56.0,武藤雅,2:23.1,3,5-5-4-3,38.8,8.6,4.0,490(+2),[東]田島俊明,林弘之,51.0,0,202106010805
6,4,8,フェアビアンカ,牝3,54.0,Ｍ．デム,2:23.3,1.1/2,1-1-1-2,39.4,5.9,3.0,468(+4),[東]伊藤大士,キャロットファーム,,0,202106010805
7,1,2,ビレイグ,牡3,56.0,北村宏司,2:23.6,1.1/2,7-9-7-6,38.7,107.2,12.0,496(+2),[東]古賀慎明,高瀬正志,,0,202106010805
8,3,5,コーヒーソフト,牝3,54.0,三浦皇成,2:24.3,4,5-5-4-5,40.0,33.1,6.0,424(-6),[東]林徹,保坂和孝,,0,202106010805
9,8,16,オリオンテソーロ,牡3,56.0,江田照男,2:24.7,2,7-7-8-11,39.7,152.7,15.0,490(-4),[東]奥平雅士,了徳寺健二ホールディングス,,0,202106010805
10,2,3,アオイラブリー,牝3,54.0,吉田豊,2:24.8,1/2,12-12-9-10,39.5,58.5,8.0,434(-2),[東]高橋文雅,鈴木照雄,,0,202106010805
11,6,12,エクラサンザレ,牝3,54.0,野中悠太,2:25.0,1.1/4,7-10-15-15,38.9,150.6,14.0,430(0),[東]菊川正達,後藤英成,,0,202106010805
12,2,4,ルリアンシップ,牝3,54.0,石川裕紀,2:25.1,1,12-13-15-12,39.0,92.7,11.0,414(+2),[東]稲垣幸雄,下河辺牧場,,0,202106010805
13,1,1,リチェルカ,牝3,54.0,柴田大知,2:25.8,4,3-3-4-6,41.5,121.2,13.0,468(0),[東]田中清隆,サラブレッドクラブ・ラフィアン,,0,202106010805
14,5,10,コスモウォークライ,牡3,56.0,宮崎北斗,2:25.8,ハナ,15-15-14-13,39.8,304.2,16.0,412(+8),[東]清水英克,ビッグレッドファーム,,0,202106010805
15,8,15,レッドスパロー,牡3,56.0,大野拓弥,2:27.6,大,11-10-10-13,42.2,80.9,10.0,502(+2),[東]水野貴広,野村茂雄,,0,202106010805
16,6,11,エフティレーヴ,牝3,54.0,蛯名正義,2:27.8,1.1/4,7-7-10-15,42.3,67.6,9.0,432(0),[東]金成貴史,吉野英子,,0,202106010805
1,5,9,カレンレベンティス,牡3,56.0,戸崎圭太,2:08.8,,11-9-8-5,36.7,6.4,3.0,464(0),[東]国枝栄,鈴木隆司,600.0,1,202106010806
2,6,11,プレイイットサム,牡3,56.0,三浦皇成,2:09.0,1.1/4,1-1-1-1,37.6,10.4,5.0,524(0),[西]藤岡健一,ゴドルフィン,240.0,1,202106010806
3,1,1,ルージュメサージュ,牝3,54.0,Ｍ．デム,2:09.3,1.1/2,5-5-4-2,37.6,7.6,4.0,472(0),[西]斉藤崇史,東京ホースレーシング,150.0,1,202106010806
4,5,10,グランオフィシエ,牡3,56.0,大野拓弥,2:09.3,アタマ,3-3-3-2,37.7,5.5,2.0,454(0),[東]久保田貴,社台レースホース,90.0,0,202106010806
5,2,3,イモータルソウル,牡3,56.0,丸田恭介,2:09.9,3.1/2,7-7-6-5,37.9,92.8,12.0,480(0),[東]畠山吉宏,ライオンレースホース,60.0,0,202106010806
6,4,7,プレニチュード,牝3,54.0,高倉稜,2:10.3,2,3-3-4-5,38.6,66.8,11.0,448(0),[東]戸田博文,堂守貴志,,0,202106010806
7,1,2,イントゥザワールド,牡3,56.0,大庭和弥,2:10.8,3,12-12-13-12,37.7,208.3,16.0,436(0),[東]高橋文雅,石瀬浩三,,0,202106010806
8,6,12,タガノフラッデル,牝3,54.0,石川裕紀,2:11.0,1.1/4,2-2-2-2,39.5,21.9,7.0,448(0),[西]今野貞一,八木秀之,,0,202106010806
9,7,14,ユペール,牝3,54.0,武藤雅,2:11.0,クビ,8-8-9-10,38.6,41.0,8.0,456(0),[東]久保田貴,Ｇ１レーシング,,0,202106010806
10,3,6,ロンギングユウタ,牡3,56.0,蛯名正義,2:11.6,3.1/2,12-12-9-10,39.1,41.5,9.0,440(0),[東]田中剛,坂本浩一,,0,202106010806
11,8,15,オブザーバー,牝3,54.0,吉田豊,2:11.8,1.1/4,9-11-9-9,39.4,205.3,15.0,390(0),[東]小島茂之,望月雅博,,0,202106010806
12,2,4,ヴァルガス,牡3,56.0,ルメール,2:12.1,2,9-9-12-13,39.3,2.2,1.0,500(0),[東]藤沢和雄,フクキタル,,0,202106010806
13,8,16,カフェテオドーラ,牝3,51.0,小林脩斗,2:12.8,4,5-5-6-8,40.8,153.5,14.0,478(0),[東]古賀慎明,西川光一,,0,202106010806
14,3,5,レッドクラーガ,牡3,56.0,津村明秀,2:14.3,9,15-14-15-14,40.1,55.2,10.0,446(0),[東]大竹正博,東京ホースレーシング,,0,202106010806
15,7,13,アルパインリンクス,牡3,56.0,横山武史,2:15.1,5,14-14-14-14,41.6,14.0,6.0,488(0),[東]奥村武,サンデーレーシング,,0,202106010806
16,4,8,ビバブランコ,牡3,56.0,北村宏司,2:16.0,5,16-16-16-16,39.5,95.1,13.0,464(0),[東]尾関知人,千明牧場,,0,202106010806
1,5,9,アリストテレス,牡4,55.0,ルメール,2:17.9,,6-6-6-4,37.4,2.4,1.0,478(+4),[西]音無秀孝,近藤英子,"6,319.0",1,202106010811
2,2,4,ヴェルトライゼンデ,牡4,55.0,池添謙一,2:18.0,1/2,9-9-7-7,37.3,6.8,3.0,494(+6),[西]池江泰寿,サンデーレーシング,"2,534.0",1,202106010811
3,4,8,ラストドラフト,牡5,56.0,三浦皇成,2:18.0,クビ,9-11-9-8,37.0,14.7,6.0,462(0),[東]戸田博文,社台レースホース,"1,617.0",1,202106010811
4,6,12,ステイフーリッシュ,牡6,56.0,石橋脩,2:18.3,1.1/2,5-4-3-4,38.1,9.5,4.0,464(-2),[西]矢作芳人,社台レースホース,930.0,0,202106010811
5,5,10,モズベッロ,牡5,56.0,北村宏司,2:18.3,ハナ,15-14-12-10,37.1,18.4,7.0,476(+6),[西]森田直行,キャピタル・システム,620.0,0,202106010811
6,8,15,ウインマリリン,牝4,53.0,横山武史,2:18.3,アタマ,2-2-3-4,38.0,10.5,5.0,464(+4),[東]手塚貴久,ウイン,,0,202106010811
7,8,17,ジャコマル,牡7,56.0,田中勝春,2:18.6,1.3/4,3-3-2-1,38.5,102.1,12.0,472(+6),[西]松永幹夫,晴間芳次,,0,202106010811
8,6,11,ナイママ,牡5,56.0,柴田大知,2:18.8,1.1/4,6-7-3-2,38.6,218.2,14.0,482(+8),[東]武藤善則,岡田繁幸,,0,202106010811
9,4,7,タガノディアマンテ,牡5,56.0,津村明秀,2:18.9,クビ,14-14-16-13,37.3,19.9,8.0,476(+2),[西]鮫島一歩,八木良司,,0,202106010811
10,1,2,サンアップルトン,牡5,56.0,柴田善臣,2:19.3,2.1/2,17-16-17-15,37.6,22.5,9.0,486(+12),[東]中野栄治,加藤ステーブル,,0,202106010811
11,1,1,サトノフラッグ,牡4,56.0,戸崎圭太,2:19.5,3/4,16-16-12-8,38.3,4.9,2.0,500(+10),[東]国枝栄,サトミホースカンパニー,,0,202106010811
12,3,6,ベストアプローチ,セ7,56.0,江田照男,2:19.8,2,13-13-14-13,38.4,73.4,11.0,496(+6),[東]小島茂之,ゴドルフィン,,0,202106010811
13,2,3,ノーブルマーズ,牡8,56.0,高倉稜,2:19.9,3/4,9-9-9-12,38.8,159.1,13.0,504(+6),[西]宮本博,吉木伸彦,,0,202106010811
14,7,13,マイネルハニー,牡8,56.0,宮崎北斗,2:20.2,1.1/2,4-4-7-10,39.5,332.2,16.0,488(-4),[東]栗田徹,サラブレッドクラブ・ラフィアン,,0,202106010811
15,8,16,ジェネラーレウーノ,牡6,56.0,武藤雅,2:20.3,クビ,1-1-1-2,40.3,24.7,10.0,526(+4),[東]矢野英一,Ｇリビエール・レーシング,,0,202106010811
16,3,5,ソッサスブレイ,牡7,56.0,木幡巧也,2:20.5,1.1/2,12-12-14-15,39.1,333.0,17.0,470(+16),[東]粕谷昌央,手嶋康雄,,0,202106010811
17,7,14,ランフォザローゼス,牡5,56.0,杉原誠人,2:21.1,3.1/2,6-7-9-17,40.1,246.1,15.0,520(+6),[東]藤沢和雄,窪田芳郎,,0,202106010811
1,8,8,クロミナンス,牡4,56.0,ルメール,2:06.2,,2-2-2-2,36.3,1.5,1.0,498(+4),[東]尾関知人,サンデーレーシング,"1,519.6",1,202106010709
2,1,1,ストークダバノン,牡4,56.0,横山武史,2:06.6,2.1/2,6-7-7-5,36.0,5.4,3.0,508(-2),[西]松永幹夫,社台レースホース,605.6,1,202106010709
3,6,6,ルトロヴァイユ,牝4,54.0,吉田豊,2:06.6,クビ,1-1-1-1,36.9,9.9,4.0,476(-2),[東]竹内正洋,古川一弘,382.8,1,202106010709
4,2,2,マイネルステレール,牡5,57.0,柴田大知,2:07.0,2,5-5-3-4,37.0,14.2,5.0,490(+4),[東]菊川正達,サラブレッドクラブ・ラフィアン,230.0,0,202106010709
5,5,5,デルマウオッカ,牡6,57.0,木幡巧也,2:07.5,3,3-3-3-2,37.5,73.8,7.0,512(-2),[東]堀井雅広,浅沼廣幸,150.0,0,202106010709
6,7,7,ショワドゥロワ,牡7,57.0,北村宏司,2:07.6,クビ,6-6-6-5,37.1,43.8,6.0,524(+4),[東]鹿戸雄一,村野康司,,0,202106010709
7,3,3,ブルーエクセレンス,牡5,57.0,戸崎圭太,2:07.9,1.3/4,4-4-5-5,37.7,4.9,2.0,480(+4),[東]金成貴史,ゴドルフィン,,0,202106010709
8,4,4,マックスアン,牡5,57.0,津村明秀,2:07.9,1/2,8-8-8-8,37.0,84.1,8.0,490(+4),[東]大和田成,ＴＵＲＦレーシング,,0,202106010709
1,4,7,マイネルミュトス,牡5,57.0,柴田大知,2:20.3,,13-13-12-6,37.0,6.6,4.0,488(+2),[東]鹿戸雄一,サラブレッドクラブ・ラフィアン,760.0,1,202106010712
2,5,9,ナリノモンターニュ,牡4,56.0,津村明秀,2:20.4,クビ,7-8-7-4,37.5,18.2,8.0,502(-2),[東]上原博之,成塚清志,300.0,1,202106010712
3,1,2,アイブランコ,牡4,56.0,内田博幸,2:20.6,1.1/2,14-14-14-11,36.9,17.8,7.0,510(+2),[東]中野栄治,ライフエンタープライズ,190.0,1,202106010712
4,1,1,ヒューマンコメディ,牝4,54.0,Ｍ．デム,2:20.7,1/2,5-5-2-1,38.3,22.2,10.0,484(+4),[東]水野貴広,野村茂雄,110.0,0,202106010712
5,5,10,エクセレントラン,牡4,56.0,柴田善臣,2:20.7,ハナ,10-11-9-6,37.5,3.9,1.0,488(+14),[東]大江原哲,田畑利彦,76.0,0,202106010712
6,2,4,ラヴィンジャー,牝5,55.0,戸崎圭太,2:21.2,3,8-9-7-6,38.3,5.9,2.0,432(+18),[東]小島茂之,丸山担,,0,202106010712
7,7,14,マイネルデステリョ,牡4,56.0,横山武史,2:21.2,ハナ,8-5-3-3,38.6,12.3,6.0,454(+4),[東]畠山吉宏,サラブレッドクラブ・ラフィアン,,0,202106010712
8,2,3,グレルグリーン,牡5,57.0,木幡巧也,2:21.3,1/2,10-12-12-11,38.0,132.7,15.0,470(+18),[東]相沢郁,斎藤光政,,0,202106010712
9,3,6,インペリアルフィズ,牡7,57.0,大野拓弥,2:21.6,2,10-9-9-10,38.5,21.9,9.0,484(+6),[東]和田勇介,社台レースホース,,0,202106010712
10,7,13,ビートザウイングス,セ4,56.0,武藤雅,2:21.6,ハナ,3-3-5-4,38.8,6.4,3.0,480(0),[東]手塚貴久,社台レースホース,,0,202106010712
11,4,8,トウカイオルデン,牡6,57.0,野中悠太,2:21.7,1/2,14-15-14-11,38.0,62.5,12.0,482(+4),[東]菊川正達,内村正則,,0,202106010712
12,8,15,ジューンバラード,牝5,52.0,小林脩斗,2:22.6,5,1-1-1-2,40.2,73.2,14.0,436(0),[東]堀井雅広,吉川潤,,0,202106010712
13,6,12,ミッキーパンチ,牡4,56.0,三浦皇成,2:23.0,2,2-2-5-11,40.2,6.8,5.0,472(+10),[東]国枝栄,野田みづき,,0,202106010712
14,6,11,ブラックデビル,セ6,57.0,石川裕紀,2:23.3,2,5-5-9-15,40.2,25.5,11.0,488(+12),[東]中野栄治,岡田壮史,,0,202106010712
15,8,16,アースブレイブ,牡4,56.0,丸田恭介,2:23.3,ハナ,16-16-16-16,38.8,71.9,13.0,460(0),[東]宗像義忠,松山増男,,0,202106010712
16,3,5,パルスレート,牝5,52.0,原優介,2:23.7,2,3-3-3-6,41.0,194.9,16.0,466(+8),[東]星野忍,坂本守孝,,0,202106010712
1,3,3,グラティアス,牡3,56.0,ルメール,2:03.1,,3-2-3-2,34.9,3.1,1.0,498(+10),[東]加藤征弘,スリーエイチレーシング,"3,845.5",1,202106010611
2,1,1,タイムトゥヘヴン,牡3,56.0,Ｍ．デム,2:03.5,2.1/2,1-1-1-1,35.6,4.5,2.0,472(-4),[東]戸田博文,ＤＭＭドリームクラブ,"1,513.0",1,202106010611
3,5,6,テンバガー,牡3,56.0,戸崎圭太,2:03.7,1.1/4,5-5-5-5,35.2,12.6,6.0,510(+4),[西]藤岡健一,Ｇ１レーシング,956.5,1,202106010611
4,5,5,ヴァイスメテオール,牡3,56.0,丸山元気,2:03.7,クビ,3-4-3-2,35.5,6.9,4.0,502(+4),[東]木村哲也,シルクレーシング,570.0,0,202106010611
5,7,10,プラチナトレジャー,牡3,56.0,田辺裕信,2:03.9,1.1/4,9-8-9-9,35.0,7.0,5.0,474(+2),[東]国枝栄,嶋田賢,380.0,0,202106010611
6,2,2,タイソウ,牡3,56.0,石橋脩,2:04.2,1.1/2,2-2-2-2,36.1,6.8,3.0,498(0),[西]西園正都,中辻明,,0,202106010611
7,6,7,エイカイファントム,牡3,56.0,岩田望来,2:04.2,ハナ,6-8-8-6,35.5,51.9,11.0,520(0),[西]藤原英昭,二木英徳,,0,202106010611
8,7,9,アクセル,牡3,56.0,横山武史,2:04.4,1.1/2,10-10-9-10,35.5,33.4,9.0,508(0),[西]武幸四郎,中辻明,,0,202106010611
9,4,4,タケルジャック,牡3,56.0,北村宏司,2:04.5,クビ,6-5-5-6,35.9,34.5,10.0,466(0),[西]清水久詞,森保彦,,0,202106010611
10,8,11,ラカン,牡3,56.0,津村明秀,2:04.6,1,11-11-9-10,35.6,26.2,8.0,478(+10),[東]武市康男,本田恒雄,,0,202106010611
11,6,8,ブラックロータス,牡3,56.0,三浦皇成,2:04.7,クビ,11-12-12-12,35.4,53.0,12.0,556(-6),[東]金成貴史,レッドマジック,,0,202106010611
12,8,12,ディクテイター,牡3,56.0,北村友一,2:05.4,4,8-5-5-6,36.8,14.8,7.0,514(-14),[西]斉藤崇史,サンデーレーシング,,0,202106010611
1,5,9,セナリスト,牝3,54.0,丸山元気,2:01.9,,12-13-6-6,36.5,10.7,3.0,440(+2),[東]金成貴史,サンデーレーシング,510.0,1,202106010505
2,4,7,コスモマイン,牡3,56.0,柴田大知,2:02.1,3/4,6-6-2-1,37.1,4.6,2.0,440(-2),[東]畠山吉宏,ビッグレッドファーム,200.0,1,202106010505
3,8,16,ヴァンデスプワール,牝3,54.0,津村明秀,2:02.1,クビ,2-2-4-4,36.9,21.1,6.0,404(-8),[東]高橋文雅,キャロットファーム,130.0,1,202106010505
4,8,15,レッドロワ,牡3,56.0,北村宏司,2:02.2,クビ,3-2-2-2,37.3,1.5,1.0,472(0),[東]木村哲也,東京ホースレーシング,77.0,0,202106010505
5,6,12,マイネルスキーブ,牡3,56.0,横山武史,2:02.6,2.1/2,4-4-4-4,37.5,20.5,5.0,462(-6),[東]田島俊明,サラブレッドクラブ・ラフィアン,51.0,0,202106010505
6,3,5,ヤマノグリッターズ,牡3,56.0,木幡巧也,2:02.6,クビ,11-11-9-8,36.9,44.7,8.0,504(+12),[東]田中清隆,澤村敏雄,,0,202106010505
7,3,6,パッドゥラパン,牝3,54.0,武士沢友,2:02.7,3/4,8-8-6-6,37.3,67.0,9.0,454(+6),[東]粕谷昌央,日進牧場,,0,202106010505
8,5,10,マジックビーム,牡3,53.0,小林脩斗,2:03.4,4,6-6-9-9,37.7,239.1,14.0,462(0),[東]高橋祥泰,鈴木芳夫,,0,202106010505
9,1,1,ロイヤルアッシュ,牡3,56.0,大野拓弥,2:03.5,3/4,14-14-15-11,37.2,138.9,11.0,472(-12),[東]池上昌和,大塚亮一,,0,202106010505
10,7,13,ショウナンラッキー,牡3,56.0,内田博幸,2:03.5,ハナ,15-15-13-9,37.3,132.4,10.0,464(0),[東]上原博之,国本哲秀,,0,202106010505
11,6,11,ファビュラスノヴァ,牡3,56.0,三浦皇成,2:03.7,1.1/4,1-1-1-3,38.8,23.2,7.0,482(+10),[東]鹿戸雄一,木村牧場,,0,202106010505
12,4,8,アメリカンエール,牡3,56.0,石橋脩,2:04.3,3.1/2,8-8-11-11,38.3,11.7,4.0,500(-4),[東]戸田博文,吉澤ホールディングス,,0,202106010505
13,1,2,ティールブルー,牡3,56.0,野中悠太,2:04.6,2,8-10-11-11,38.6,140.7,12.0,458(-6),[東]宮田敬介,青芝商事,,0,202106010505
14,2,3,テイエムユメノオー,牡3,56.0,丸田恭介,2:04.8,1.1/2,12-12-13-14,38.6,225.5,13.0,488(+10),[東]加藤和宏,竹園正繼,,0,202106010505
15,2,4,ロケーション,牡3,56.0,石川裕紀,2:13.1,大,4-4-8-15,47.6,305.4,15.0,472(-4),[東]蛯名利弘,畑佐博,,0,202106010505
取,7,14,フジツボノミヤ,牝3,51.0,原優介,,,,,---,,計不,[東]小手川準,ブルースターズファーム,,0,202106010505
1,1,2,ブラックマジック,牡4,56.0,石橋脩,2:16.7,,3-3-1-1,35.1,9.5,5.0,450(-2),[東]戸田博文,窪田芳郎,"1,855.0",1,202106010410
2,2,4,ウインキートス,牝4,54.0,丹内祐次,2:16.8,クビ,2-2-2-2,35.0,4.8,3.0,464(+4),[東]宗像義忠,ウイン,740.0,1,202106010410
3,4,7,デゼル,牝4,54.0,福永祐一,2:16.8,クビ,5-5-5-6,34.8,3.4,1.0,486(+16),[西]友道康夫,社台レースホース,465.0,1,202106010410
4,4,8,エアジーン,牝5,55.0,ルメール,2:16.9,クビ,12-10-5-4,34.9,3.6,2.0,462(+8),[東]堀宣行,ラッキーフィールド,270.0,0,202106010410
5,3,5,クラヴェル,牝4,54.0,横山典弘,2:17.0,1,7-7-9-9,34.8,9.6,6.0,432(-10),[西]安田翔伍,キャロットファーム,182.0,0,202106010410
6,6,11,ラクローチェ,牡5,57.0,池添謙一,2:17.1,1/2,3-4-7-6,35.0,56.3,10.0,486(-6),[西]角田晃一,畑佐博,,0,202106010410
7,2,3,コスモインペリウム,牡4,56.0,柴田大知,2:17.2,クビ,1-1-2-4,35.3,37.9,9.0,538(+2),[東]和田雄二,岡田繁幸,,0,202106010410
8,8,16,ダノングロワール,牡4,56.0,三浦皇成,2:17.3,3/4,9-10-9-9,35.1,8.5,4.0,500(+12),[東]国枝栄,ダノックス,,0,202106010410
9,7,13,ウィナーポイント,牝6,55.0,勝浦正樹,2:17.3,クビ,5-6-9-9,35.0,232.8,14.0,436(+2),[東]和田勇介,岡田牧雄,,0,202106010410
10,7,14,パルクデラモール,牝6,55.0,武藤雅,2:17.4,クビ,16-16-16-16,34.4,226.0,13.0,474(-12),[東]鹿戸雄一,Ｇ１レーシング,,0,202106010410
11,5,9,シロニイ,牡7,57.0,石川裕紀,2:17.4,クビ,14-13-7-8,35.3,34.1,8.0,510(+6),[西]池江泰寿,金子真人ホールディングス,,0,202106010410
12,8,15,ベイビーステップ,牡7,57.0,大野拓弥,2:17.5,アタマ,10-9-2-2,35.7,348.5,16.0,492(+4),[東]菊川正達,大塚亮一,,0,202106010410
13,3,6,アラスカ,牝5,55.0,菅原明良,2:17.5,ハナ,14-15-12-12,35.1,129.3,12.0,412(+8),[東]萩原清,池谷誠一,,0,202106010410
14,6,12,ヒシヴィクトリー,牡6,57.0,木幡巧也,2:17.8,1.3/4,8-7-12-12,35.4,20.3,7.0,496(+4),[東]牧光二,阿部雅英,,0,202106010410
15,1,1,マイネルカレッツァ,牡9,57.0,津村明秀,2:17.8,クビ,12-13-15-12,35.1,239.7,15.0,504(-24),[東]加藤士津,サラブレッドクラブ・ラフィアン,,0,202106010410
16,5,10,タイセイモナーク,牡5,57.0,田辺裕信,2:18.0,1.1/4,10-10-12-12,35.6,72.6,11.0,490(-6),[西]西村真幸,田中成奉,,0,202106010410
1,6,12,ココニアル,牝4,54.0,大野拓弥,2:03.4,,11-11-11-9,34.8,5.3,1.0,444(-4),[東]和田勇介,村田能光,760.0,1,202106010412
2,8,16,アイスブラスト,牡5,57.0,福永祐一,2:03.4,アタマ,2-3-4-2,35.5,21.4,9.0,504(+4),[東]戸田博文,ＤＭＭドリームクラブ,300.0,1,202106010412
3,5,10,レットミーアウト,牝4,54.0,柴田大知,2:03.6,1.1/4,9-8-9-8,35.3,9.9,6.0,484(+2),[東]水野貴広,サラブレッドクラブ・ラフィアン,190.0,1,202106010412
4,6,11,レベンディス,セ4,56.0,横山武史,2:03.7,1/2,14-14-13-12,34.9,18.1,8.0,498(+6),[東]高柳瑞樹,シルクレーシング,110.0,0,202106010412
5,8,15,ナリノモンターニュ,牡4,56.0,津村明秀,2:03.7,ハナ,6-5-6-4,35.6,13.0,7.0,504(+2),[東]上原博之,成塚清志,76.0,0,202106010412
6,4,8,フィデリオグリーン,牡5,57.0,野中悠太,2:03.8,1/2,13-14-13-12,34.9,52.4,13.0,508(+14),[東]根本康広,斎藤光政,,0,202106010412
7,5,9,ウインアルカンナ,牝4,51.0,秋山稔樹,2:03.8,アタマ,1-2-2-1,36.1,8.7,5.0,458(+8),[東]武市康男,ウイン,,0,202106010412
8,3,5,ネオストーリー,牡4,55.0,斎藤新,2:03.8,ハナ,16-16-16-16,34.5,24.5,11.0,462(0),[東]林徹,藤澤眞佐子,,0,202106010412
9,3,6,エルセンブルグ,牡4,56.0,石川裕紀,2:03.9,1/2,5-5-6-4,35.8,22.3,10.0,530(+6),[東]相沢郁,サンデーレーシング,,0,202106010412
10,2,4,ウインリベルタ,牡5,57.0,戸崎圭太,2:03.9,アタマ,6-5-2-2,36.3,6.5,4.0,488(-4),[東]青木孝文,ウイン,,0,202106010412
11,1,1,ロッタチャンセズ,牝4,54.0,石橋脩,2:04.0,クビ,14-13-13-12,35.2,57.5,14.0,392(+8),[東]堀宣行,Ｇ１レーシング,,0,202106010412
12,4,7,ザスリーサーティ,牡6,57.0,田辺裕信,2:04.1,1/2,8-8-9-9,35.7,5.4,2.0,486(+8),[東]尾形和幸,諸江幸祐,,0,202106010412
13,7,14,ファントムグレイ,牡8,57.0,丹内祐次,2:04.2,3/4,3-3-4-4,36.3,48.5,12.0,452(+12),[東]杉浦宏昭,山岸桂市,,0,202106010412
14,1,2,リグージェ,牡4,56.0,丸山元気,2:04.5,1.3/4,9-8-6-9,36.3,5.8,3.0,490(+20),[東]木村哲也,キャロットファーム,,0,202106010412
15,2,3,レローヴ,牝7,55.0,横山和生,2:04.6,3/4,11-11-11-12,36.1,154.0,16.0,508(-2),[東]黒岩陽一,今中俊平,,0,202106010412
16,7,13,ワセダウォリアー,セ4,56.0,北村宏司,2:05.7,7,3-1-1-4,38.1,90.4,15.0,470(+8),[東]池上昌和,大冨智弘,,0,202106010412
1,1,1,グローリアスサルム,牝3,54.0,吉田豊,2:16.9,,12-11-11-8,34.7,28.2,7.0,448(+6),[東]小島茂之,日下部勝徳,510.0,1,202106010305
2,2,4,ソーヴァリアント,牡3,56.0,戸崎圭太,2:17.0,クビ,15-15-10-5,34.9,1.7,1.0,504(+10),[東]大竹正博,社台レースホース,200.0,1,202106010305
3,4,8,ジルブラス,牡3,56.0,大野拓弥,2:17.2,1.1/4,7-7-3-2,35.7,6.9,3.0,500(0),[東]栗田徹,Ｇ１レーシング,130.0,1,202106010305
4,1,2,コーヒーソフト,牝3,54.0,三浦皇成,2:17.9,4,10-9-8-8,35.9,18.8,5.0,430(+14),[東]林徹,保坂和孝,77.0,0,202106010305
5,8,15,アオイラブリー,牝3,53.0,菅原明良,2:17.9,ハナ,4-3-5-6,36.2,262.9,14.0,436(-2),[東]高橋文雅,鈴木照雄,51.0,0,202106010305
6,6,11,ホウオウハイエスト,牝3,54.0,北村宏司,2:17.9,ハナ,8-9-8-8,35.9,18.8,4.0,518(-2),[東]奥村武,小笹芳央,,0,202106010305
7,5,9,コスモオニアシゲ,牡3,56.0,丹内祐次,2:18.1,1.1/4,15-15-15-8,35.7,21.7,6.0,452(+6),[東]伊藤伸一,ビッグレッドファーム,,0,202106010305
8,7,14,ダノンマヴロス,牡3,56.0,横山和生,2:18.1,クビ,2-2-2-2,36.7,58.1,9.0,460(+8),[東]田中博康,ダノックス,,0,202106010305
9,6,12,ノワールドゥジェ,牝3,54.0,横山武史,2:18.6,3,4-6-7-8,36.7,3.8,2.0,476(-2),[東]宮田敬介,シルクレーシング,,0,202106010305
10,5,10,ボラヘ,牝3,54.0,杉原誠人,2:18.7,クビ,11-12-11-14,36.5,100.7,11.0,424(-6),[東]新開幸一,ミルファーム,,0,202106010305
11,3,6,ゲットオン,牡3,53.0,秋山稔樹,2:18.8,1,3-3-3-2,37.3,251.0,13.0,462(+2),[東]黒岩陽一,ジェイアール,,0,202106010305
12,3,5,レイワフリューゲル,牡3,53.0,原優介,2:18.9,クビ,14-13-11-13,36.7,300.1,15.0,450(+6),[東]小手川準,ＫＲジャパン,,0,202106010305
13,7,13,ゴールドブリーズ,牡3,55.0,斎藤新,2:18.9,クビ,1-1-1-1,37.6,48.7,8.0,488(+4),[東]深山雅史,居城寿与,,0,202106010305
14,8,16,マナフォルトゥーナ,牝3,52.0,山田敬士,2:18.9,アタマ,4-3-5-6,37.2,363.4,16.0,410(+2),[東]菊川正達,ディアレストクラブ,,0,202106010305
15,2,3,コスモマイディア,牡3,56.0,武藤雅,2:19.3,2.1/2,12-13-16-16,36.7,67.1,10.0,488(+4),[東]武藤善則,岡田繁幸,,0,202106010305
16,4,7,マイバウム,牡3,56.0,田中勝春,2:19.5,3/4,8-8-11-14,37.3,169.8,12.0,444(0),[東]大和田成,栗坂崇,,0,202106010305
1,8,16,タイセイドリーマー,牡3,56.0,北村宏司,2:04.8,,5-5-5-2,34.7,5.9,3.0,486(0),[西]矢作芳人,田中成奉,600.0,1,202106010306
2,7,14,ヒアーズトゥライフ,牡3,56.0,横山典弘,2:04.8,アタマ,7-7-7-5,34.5,4.3,2.0,480(0),[東]菊沢隆徳,吉田照哉,240.0,1,202106010306
3,6,12,アスクヒーロー,牡3,56.0,戸崎圭太,2:05.3,3,2-2-2-2,35.5,2.3,1.0,490(0),[東]田村康仁,廣崎利洋ＨＤ,150.0,1,202106010306
4,2,4,パソロブレス,牡3,56.0,三浦皇成,2:05.5,1.1/4,1-1-1-1,35.8,9.7,5.0,504(0),[西]杉山晴紀,グリーンファーム,90.0,0,202106010306
